State,lat,lon
Rajasthan,27.0238,74.2179
Kerala,10.8505,76.2711
Maharashtra,19.7515,75.7139
Goa,15.2993,74.124
Union Territory of Jammu and Kashmir,33.7782,76.5762
Karnataka,15.3173,75.7139
Gujarat,22.2587,71.1924
Haryana,29.0588,76.0856
Uttar Pradesh,26.8467,80.9462
Bihar,25.0961,85.3131
Jharkhand,23.6102,85.2799
Madhya Pradesh,22.9734,78.6569
Telangana,18.1124,79.0193
Tamil Nadu,11.1271,78.6569
Andhra Pradesh,15.9129,79.74
Chhattisgarh,21.2787,81.8661
Assam,26.2006,92.9376
Union Territory of Chandigarh,31.1471,75.3412
Odisha,20.9517,85.0985
Uttarakhand,30.0668,79.0193
West Bengal,22.9868,87.855
Nagaland,26.1584,94.5624
Himachal Pradesh,31.1048,77.1734
Sikkim,27.533,88.5122
Manipur,24.6637,93.9063
Tripura,23.9408,91.9882
Arunachal Pradesh,28.218,94.7278
Meghalaya,25.467,91.3662
Mizoram,23.1645,92.9376
Puducherry,11.9416,79.8083
Union Territory of Ladakh,34.209515,77.615112
